,Accuracy,Accuracy K,Accuracy Metric,Precision,Precision K,Precision Metric,F1_micro,F1_micro K,F1_micro Metric
0,0.7502,27,manhattan,0.7099368179207353,26,manhattan,0.6748242645144494,27,manhattan
1,0.7505,29,manhattan,0.7150127226463104,28,manhattan,0.678851847084567,29,manhattan
2,0.7498,29,manhattan,0.7186134576172444,26,manhattan,0.6734534064212999,29,manhattan
3,0.7514,29,manhattan,0.7156223419336547,26,manhattan,0.678146038322113,29,manhattan
4,0.7537,29,manhattan,0.7098614506927465,22,manhattan,0.6916238888193313,29,manhattan
5,0.7548,29,manhattan,0.7115902964959568,26,manhattan,0.6914947156517364,29,manhattan
6,0.7441,29,manhattan,0.7238446271618939,16,manhattan,0.6775859896686405,29,manhattan
7,0.7595,29,manhattan,0.7269262183501225,26,manhattan,0.6976919217260412,27,manhattan
8,0.7512,27,manhattan,0.7255705090696314,16,manhattan,0.6789677419354839,27,manhattan
9,0.7461,29,manhattan,0.7082724349605378,28,manhattan,0.6652603823335531,29,manhattan
