optimizer,learning_rate,accuracy,precision,recall,F1_score,failure
Adam,0.001,0.5041018387553041,0.5041018387553041,1.0,0.6703028023321421,False
Adam,0.005,0.4958981612446959,Couldn't compute,0.0,NA,True
Adam,0.01,0.5041018387553041,0.5041018387553041,1.0,0.6703028023321421,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
Adam,0.1,0.4958981612446959,Couldn't compute,0.0,NA,True
SGD,0.001,0.5041018387553041,0.5041018387553041,1.0,0.6703028023321421,False
SGD,0.005,0.4958981612446959,Couldn't compute,0.0,NA,True
SGD,0.01,0.5041018387553041,0.5041018387553041,1.0,0.6703028023321421,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
SGD,0.1,0.5041018387553041,0.5041018387553041,1.0,0.6703028023321421,False
