optimizer,learning_rate,accuracy,precision,recall,F1_score,failure
Adam,0.001,0.5056577086280056,Couldn't compute,0.0,NA,True
Adam,0.005,0.49434229137199437,0.49434229137199437,1.0,0.661618551822054,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
Adam,0.05,0.5056577086280056,Couldn't compute,0.0,NA,True
Adam,0.1,0.5056577086280056,Couldn't compute,0.0,NA,True
SGD,0.001,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
SGD,0.005,0.5056577086280056,Couldn't compute,0.0,NA,True
SGD,0.01,0.5056577086280056,Couldn't compute,0.0,NA,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
