optimizer,learning_rate,accuracy,precision,recall,F1_score,n_components,failure
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
SGD,0.001,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,TRUE
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,TRUE
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,TRUE
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,TRUE
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,TRUE
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,TRUE
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,TRUE
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,TRUE
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,TRUE
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,TRUE
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,TRUE
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,TRUE
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,TRUE
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,TRUE
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,TRUE
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,TRUE
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,TRUE
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,TRUE
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,TRUE
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,TRUE
