optimizer,learning_rate,accuracy,precision,recall,F1_score,n_components,failure
Adam,0.001,0.6213578500707213,0.6109100310237849,0.6684582743988685,0.6383898419559638,3,False
Adam,0.005,0.5142857142857142,0.6346666666666667,0.06732673267326733,0.1217391304347826,3,False
Adam,0.01,0.504950495049505,0.8070175438596491,0.013012729844413012,0.025612472160356343,3,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.001,0.49434229137199437,0.4853157121879589,0.186987270155587,0.26996120073514396,3,False
SGD,0.005,0.5,0.5,1.0,0.6666666666666666,3,False
SGD,0.01,0.4937765205091938,0.4843081312410842,0.19207920792079208,0.27506582945108365,3,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.001,0.6414427157001414,0.6043101532992669,0.7829591249280369,0.6821316614420063,4,False
Adam,0.005,0.5222065063649222,0.7051282051282052,0.047495682210708115,0.0889967637540453,4,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.001,0.4913719943422914,0.4913719943422914,1.0,0.6589529590288316,4,False
SGD,0.005,0.4913719943422914,0.4913719943422914,1.0,0.6589529590288316,4,False
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.001,0.649080622347949,0.6411716842961758,0.6712095400340715,0.6558468580940491,5,False
Adam,0.005,0.49872701555869875,0.49843927355278095,0.9974446337308348,0.6647114474929045,5,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
