optimizer,learning_rate,accuracy,precision,recall,F1_score,failure
Adam,0.001,0.7697312588401697,0.7484068315065001,0.8207995526977915,0.7829333333333334,False
Adam,0.005,0.7632248939179632,0.7669392523364486,0.7498572244431754,0.7583020502454518,False
Adam,0.01,0.7472418670438472,0.6940516273849607,0.8794084186575654,0.7758123196587631,False
Adam,0.05,0.5014144271570015,0.5014144271570015,1.0,0.6679227508243053,False
Adam,0.1,0.4947666195190948,0.4947666195190948,1.0,0.6619984859954581,False
SGD,0.001,0.7048090523338049,0.6639131460939344,0.8092635212888377,0.7294178659406197,False
SGD,0.005,0.7602545968882602,0.7359450521495803,0.8149295774647888,0.7734260125651651,False
SGD,0.01,0.7526166902404526,0.6979189975385992,0.8865832859579307,0.7810191561287092,False
SGD,0.05,0.7605374823196606,0.7242299296628668,0.8430265386787126,0.7791258969341162,False
SGD,0.1,0.6664780763790665,0.8522796352583587,0.39863520045493317,0.5432003099573809,False
