optimizer,learning_rate,accuracy,precision,recall,F1_score,failure
Adam,0.001,0.504950495049505,0.504950495049505,1.0,0.6710526315789473,False
Adam,0.005,0.49504950495049505,Couldn't compute,0.0,NA,True
Adam,0.01,0.49504950495049505,Couldn't compute,0.0,NA,True
Adam,0.05,0.49504950495049505,Couldn't compute,0.0,NA,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
SGD,0.001,0.504950495049505,0.504950495049505,1.0,0.6710526315789473,False
SGD,0.005,0.49504950495049505,Couldn't compute,0.0,NA,True
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
SGD,0.05,0.49504950495049505,Couldn't compute,0.0,NA,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,True
