optimizer,learning_rate,accuracy,precision,recall,F1_score,n_components,failure
Adam,0.001,0.6240452616690241,0.5972454090150251,0.7972144846796657,0.6828919112383679,3,False
Adam,0.005,0.5077793493635078,0.5077837531842627,0.9994428969359331,0.6734234234234234,3,False
Adam,0.01,0.5072135785007073,0.507504956103087,0.9983286908077994,0.672925272249343,3,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.001,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.005,0.5093352192362093,0.5803452855245684,0.12172701949860724,0.2012433801519687,3,False
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,3,True
Adam,0.001,0.6294200848656294,0.5947712418300654,0.8580144204104271,0.7025431425976385,4,False
Adam,0.005,0.5100424328147101,0.5100452744765138,0.9997226844148641,0.6754731122353381,4,False
Adam,0.01,0.5097595473833098,0.5099037917374081,0.9994453688297282,0.6752857410530261,4,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.001,0.4909476661951909,0.5777777777777777,0.007210205213533,0.014242673240208161,4,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.01,0.49745403111739744,0.5456110154905336,0.08790904048807544,0.15142106520181514,4,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,4,True
Adam,0.001,0.6247524752475248,0.5918784029038112,0.7533930118394455,0.6629399059839919,5,False
Adam,0.005,0.49024045261669025,0.4900212314225053,0.9997112330349408,0.6576747720364742,5,False
Adam,0.01,0.48995756718528993,0.4898768228797961,0.9991336991048224,0.6574197225916777,5,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
SGD,0.001,0.48981612446958983,0.48981612446958983,1.0,0.6575524541915884,5,False
SGD,0.005,0.485997171145686,0.4585956416464891,0.2734623159110598,0.3426193921852388,5,False
SGD,0.01,0.48981612446958983,0.48981612446958983,1.0,0.6575524541915884,5,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.001,0.6311173974540312,0.6145445519980144,0.7012177853299348,0.655026455026455,6,False
Adam,0.005,0.5043847241867044,0.7647058823529411,0.011045029736618521,0.021775544388609715,6,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.001,0.49915134370579917,0.49929238607415793,0.9991503823279524,0.6658488251391903,6,False
SGD,0.005,0.4994342291371994,0.4994342291371994,1.0,0.6661635694745779,6,False
SGD,0.01,0.4994342291371994,0.4994342291371994,1.0,0.6661635694745779,6,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
