,Accuracy,Accuracy C,Accuracy Penalty,Precision,Precision C,Precision Penalty,F1_micro,F1_micro C,F1_micro Penalty
0,0.8606462867248345,0.0001,l1,0.712024,0.0001,l2,0.8714473009266858,0.01,l1
1,0.8609862821403418,0.0001,l1,0.6452326840913678,0.0001,l2,0.8715901995774216,0.01,l2
2,0.8605231002756645,0.0001,l1,0.6470265448528985,0.0001,l2,0.8712550962783521,0.1,l1
3,0.8607300541124067,0.0001,l1,0.6452683935313177,0.0001,l2,0.871625,1.0,l2
4,0.8603654211157089,0.0001,l1,0.646898,0.0001,l2,0.871157,0.1,l1
5,0.8605329554052593,0.0001,l1,0.649623,0.0001,l2,0.871132,10000.0,l1
6,0.861281930201063,0.0001,l1,0.6462459439175718,0.0001,l2,0.871625,0.1,l1
7,0.8603013639873266,0.0001,l1,0.6440511576034562,0.0001,l2,0.871038,1.0,l1
8,0.8607497634004087,0.0001,l1,0.648606,0.0001,l2,0.871368,0.1,l1
9,0.8613509146514456,0.0001,l1,0.643635,0.0001,l2,0.871699,0.1,l1
